marketplacename,stock,tahunterbit,hargabuku,berat,lembartotal,status,urgent,tipetransaksi,servicefee,jumlah_order,jumlahcetak,kategoriutama,kategorisekunder,kategoritersier,statussku,tahun_transaksi,bulan_transaksi,hari_transaksi,dayofyear
3,0,2021.0,136000,0.0,59.0,3,0,0,0,3,3,3,13,53,0,2023,2,8,39
3,0,2019.0,143000,0.0,79.0,1,0,0,13507,1,1,5,36,36,0,2023,2,8,39
4,0,2015.0,105000,0.0,71.0,1,0,0,0,1,1,5,41,53,0,2023,2,8,39
3,0,2021.0,136000,0.0,59.0,3,0,0,0,1,1,3,13,53,0,2023,2,8,39
5,0,2017.0,143000,0.0,129.0,3,0,0,0,1,1,8,46,72,1,2023,2,8,39
3,516,2018.0,121000,0.0,102.0,3,0,0,0,1,0,8,46,53,0,2023,2,8,39
3,2,2022.0,61000,0.0,59.0,3,0,0,0,1,0,7,26,45,0,2023,2,8,39
3,0,2019.0,55000,0.0,22.0,3,0,0,0,1,0,11,11,53,0,2023,2,8,39
5,0,2018.0,92000,0.0,45.0,3,0,0,0,1,0,7,71,53,0,2023,2,8,39
3,0,2022.0,78000,0.0,59.0,3,0,0,0,1,1,10,24,36,0,2023,2,8,39
3,0,2018.0,73000,0.0,26.0,3,0,0,0,1,2,11,48,53,0,2023,2,8,39
3,0,2019.0,97000,0.0,59.0,1,0,0,8400,1,1,1,68,76,0,2023,2,8,39
3,24,2019.0,68000,0.0,59.0,1,0,0,5152,1,0,0,27,53,0,2023,2,8,39
3,0,2019.0,73000,0.0,33.0,1,0,0,5712,1,1,5,41,19,0,2023,2,8,39
3,0,2019.0,83000,0.0,41.0,3,0,0,0,1,1,10,47,53,0,2023,2,8,39
3,0,2018.0,83000,0.0,59.0,3,0,0,0,1,0,8,86,45,0,2023,2,8,39
5,0,2019.0,153000,0.0,113.0,3,0,0,0,1,1,10,1,42,0,2023,2,8,39
3,1,2015.0,91000,0.0,60.0,3,0,0,0,1,2,4,43,21,0,2023,2,8,39
3,1,2017.0,71000,0.0,23.0,3,0,0,0,1,0,5,36,53,0,2023,2,8,39
3,1,2019.0,151000,0.0,92.0,3,0,0,0,1,1,2,8,11,0,2023,2,8,39
3,0,2018.0,110500,0.0,82.0,1,1,0,0,1,1,5,41,21,0,2023,2,8,39
3,0,2019.0,83000,0.0,59.0,1,0,0,6720,1,1,5,41,72,0,2023,2,8,39
3,0,2019.0,103500,0.0,70.0,3,0,0,0,1,1,10,24,53,0,2023,2,8,39
7,0,2017.0,120000,0.0,101.0,1,0,1,0,1,1,5,16,53,0,2023,2,8,39
3,0,2019.0,133000,0.0,59.0,1,0,0,11400,1,2,11,54,53,1,2023,2,8,39
5,0,2019.0,93000,0.0,59.0,3,0,0,0,1,0,5,31,53,0,2023,2,8,39
3,0,2022.0,109000,0.0,55.0,3,0,0,0,1,1,7,26,34,0,2023,2,8,39
3,0,2016.0,76000,0.0,25.0,3,0,0,0,1,2,7,26,53,0,2023,2,8,39
5,1,2022.0,109000,0.0,58.0,3,0,0,0,1,0,10,77,53,0,2023,2,8,39
5,0,2017.0,102000,0.0,64.0,3,0,0,0,1,1,3,14,2,0,2023,2,8,39
3,0,2019.0,73000,0.0,36.0,3,0,0,0,1,1,5,34,53,0,2023,2,8,39
3,0,2021.0,149000,185.0,59.0,3,0,0,0,3,3,10,24,53,0,2023,2,8,39
3,0,2021.0,149000,185.0,59.0,3,0,0,0,1,1,10,24,53,0,2023,2,8,39
3,0,2020.0,83000,0.0,41.0,3,0,0,0,1,1,2,7,63,0,2023,2,8,39
5,0,2019.0,156000,0.0,96.0,1,0,0,6435,1,1,10,59,9,1,2023,2,8,39
5,0,2019.0,64000,0.0,28.0,3,0,0,0,1,2,1,68,11,0,2023,2,8,39
5,0,2022.0,225000,0.0,139.0,1,0,0,18020,1,1,8,67,69,0,2023,2,8,39
3,4,2021.0,149000,0.0,66.0,3,0,0,0,1,0,2,8,53,0,2023,2,8,39
3,1,2019.0,136000,0.0,45.0,3,0,0,0,1,0,10,10,53,0,2023,2,8,39
3,1,2016.0,71500,0.0,23.0,3,0,0,0,1,0,8,64,53,0,2023,2,8,39
3,1,2018.0,48500,0.0,59.0,1,0,0,9324,1,2,11,72,53,1,2023,2,8,39
3,2,2018.0,41000,0.0,20.0,1,0,0,9324,1,0,11,72,53,0,2023,2,8,39
3,2,2018.0,42000,0.0,21.0,1,0,0,9324,1,0,11,72,53,1,2023,2,8,39
3,0,2018.0,151000,0.0,134.0,3,0,0,0,1,1,8,86,45,0,2023,2,8,39
3,0,2016.0,108000,0.0,77.0,3,0,0,0,1,1,4,61,32,0,2023,2,8,39
3,0,2018.0,104500,0.0,70.0,3,0,0,0,1,0,3,13,53,0,2023,2,8,39
3,3,2020.0,95000,0.0,59.0,3,0,0,0,1,2,3,51,23,1,2023,2,8,39
3,0,2018.0,107000,0.0,75.0,3,0,0,0,1,1,5,41,33,0,2023,2,8,39
3,0,2020.0,77000,0.0,36.0,3,0,0,0,1,1,5,40,33,0,2023,2,8,39
3,0,2022.0,118000,0.0,63.0,1,0,0,10584,1,1,7,71,53,0,2023,2,8,39
3,1,2021.0,111000,0.0,63.0,1,0,0,19757,2,2,6,44,53,0,2023,2,8,39
3,0,2014.0,156000,0.0,139.0,3,0,0,0,1,0,10,24,53,1,2023,2,8,39
2,0,2019.0,83000,0.0,38.0,3,0,0,0,2,2,8,46,1,0,2023,2,8,39
3,0,2022.0,161000,0.0,94.0,3,0,0,0,1,1,10,33,60,0,2023,2,8,39
3,2,2021.0,75000,0.0,44.0,3,0,0,0,1,1,6,81,53,0,2023,2,8,39
5,0,2019.0,92000,0.0,64.0,3,0,0,0,1,1,10,24,53,1,2023,2,8,39
5,0,2021.0,179000,0.0,59.0,3,0,0,0,1,1,6,45,4,0,2023,2,8,39
4,0,2018.0,99000,0.0,58.0,3,1,0,0,1,1,3,44,45,0,2023,2,8,39
2,516,2018.0,121000,0.0,102.0,3,0,0,0,1,0,8,46,53,0,2023,2,8,39
6,0,2021.0,88000,0.0,32.0,1,0,1,0,1,1,3,44,53,1,2023,2,8,39
3,6,2020.0,81000,0.0,42.0,3,0,0,0,1,0,6,81,47,0,2023,2,8,39
2,516,2018.0,121000,0.0,102.0,3,0,0,0,1,0,8,46,53,0,2023,2,8,39
3,0,2019.0,135000,0.0,85.0,3,0,0,0,1,1,1,68,43,0,2023,2,8,39
3,0,2019.0,40500,0.0,16.0,3,0,0,0,1,2,4,37,53,0,2023,2,8,39
3,0,2021.0,70000,0.0,40.0,3,0,0,0,1,0,10,70,53,0,2023,2,8,39
3,0,2021.0,81000,0.0,35.0,3,0,0,0,1,1,3,51,53,0,2023,2,8,39
3,2,2019.0,64000,0.0,59.0,1,0,0,4592,1,0,4,61,32,0,2023,2,8,39
5,6,2014.0,70000,0.0,18.0,1,0,0,7658,1,0,10,70,53,0,2023,2,8,39
5,0,2021.0,62000,115.0,59.0,1,0,0,7658,1,0,4,82,53,0,2023,2,8,39
4,0,2015.0,105000,0.0,71.0,1,0,0,0,1,1,5,41,53,0,2023,2,8,39
3,1,2019.0,79000,0.0,38.0,3,0,0,0,1,0,4,37,53,0,2023,2,8,39
3,0,2020.0,50000,0.0,59.0,1,0,0,3136,1,0,5,36,53,0,2023,2,8,39
3,0,2019.0,160000,0.0,59.0,3,0,0,0,1,1,6,19,69,0,2023,2,8,39
3,0,2019.0,143000,0.0,84.0,3,0,0,0,1,1,4,55,53,0,2023,2,8,39
3,1,2012.0,98500,0.0,67.0,3,0,0,0,1,0,10,70,24,1,2023,2,8,39
3,0,2022.0,120000,0.0,66.0,3,0,0,0,1,1,4,61,15,0,2023,2,8,39
3,0,2021.0,109000,0.0,57.0,3,0,0,0,1,1,4,55,53,0,2023,2,8,39
3,0,2019.0,67000,0.0,59.0,3,0,0,0,1,0,4,61,32,0,2023,2,8,39
3,1,2018.0,99000,0.0,69.0,3,0,0,0,1,2,5,40,43,0,2023,2,8,39
3,0,2022.0,112000,0.0,120.0,1,0,0,99792,10,0,0,27,53,0,2023,2,8,39
7,0,2019.0,131000,0.0,102.0,1,0,1,0,1,1,4,61,34,0,2023,2,8,39
7,0,2021.0,136000,0.0,40.0,1,0,1,0,1,1,4,61,32,0,2023,2,8,39
2,0,2019.0,131000,0.0,102.0,3,0,0,0,1,1,4,61,34,0,2023,2,8,39
6,0,2021.0,143000,0.0,132.0,1,0,1,0,1,1,3,51,53,0,2023,2,8,39
3,0,2022.0,109000,0.0,55.0,3,0,0,0,1,1,7,26,34,0,2023,2,8,39
6,0,2022.0,141000,0.0,85.0,1,0,1,0,1,1,4,53,53,0,2023,2,8,39
3,1,2015.0,105000,0.0,70.0,3,0,0,0,1,1,3,51,71,0,2023,2,8,39
6,0,2019.0,115000,0.0,56.0,1,0,1,0,1,1,10,33,60,1,2023,2,8,39
6,2,2021.0,75000,0.0,44.0,1,1,1,0,1,1,6,81,53,0,2023,2,8,39
3,0,2022.0,104000,193.0,53.0,1,0,0,0,1,1,4,61,34,0,2023,2,8,39
3,1,2017.0,83000,0.0,42.0,1,0,0,0,1,0,7,71,53,0,2023,2,8,39
3,1,2014.0,116000,0.0,93.0,1,0,0,10382,1,1,8,0,53,0,2023,2,8,39
3,0,2017.0,92500,0.0,46.0,3,0,0,0,1,1,10,59,53,0,2023,2,8,39
3,0,2018.0,128000,0.0,109.0,3,0,0,0,1,1,3,14,45,0,2023,2,8,39
3,0,2019.0,101000,0.0,51.0,3,0,0,0,1,1,4,55,53,1,2023,2,8,39
3,516,2018.0,121000,0.0,102.0,1,0,0,10886,1,0,8,46,53,0,2023,2,8,39
3,0,2019.0,143000,0.0,79.0,1,0,0,13507,1,1,5,36,36,0,2023,2,8,39
3,0,2018.0,99000,0.0,59.0,3,0,0,0,1,1,10,24,53,0,2023,2,8,39
3,0,2021.0,83000,0.0,59.0,1,0,0,13709,1,0,5,22,36,0,2023,2,8,39
3,0,2021.0,89000,0.0,52.0,1,0,0,13709,1,2,5,22,26,0,2023,2,8,39
3,0,2018.0,69000,0.0,17.0,3,0,0,0,1,2,5,36,28,0,2023,2,8,39
3,0,2020.0,200000,0.0,136.0,3,0,0,0,1,1,6,45,69,0,2023,2,8,39
3,0,2019.0,163000,0.0,106.0,3,0,0,0,1,1,0,27,15,1,2023,2,8,39
3,0,2017.0,111000,0.0,59.0,1,0,0,9878,1,0,6,45,53,1,2023,2,8,39
3,2,2022.0,112000,0.0,59.0,3,0,0,0,1,2,4,37,53,0,2023,2,8,39
3,2,2022.0,112000,0.0,59.0,1,0,0,0,1,0,4,37,53,0,2023,2,8,39
3,0,2019.0,67000,0.0,59.0,3,0,0,0,1,0,4,61,32,0,2023,2,8,39
3,0,2016.0,108000,0.0,76.0,1,0,0,9576,1,1,4,61,46,0,2023,2,8,39
3,2,2019.0,99000,0.0,66.0,3,0,0,0,1,0,8,87,53,0,2023,2,8,39
3,0,2016.0,216000,0.0,203.0,3,0,0,0,1,1,8,87,41,0,2023,2,8,39
4,0,2022.0,120000,0.0,66.0,3,0,0,0,1,1,4,61,15,0,2023,2,8,39
3,0,2018.0,101000,0.0,59.0,3,0,0,0,1,1,2,7,53,0,2023,2,8,39
